Ct,copies,unique_id
25.07,1000.0,1000.0_1
25.04,1000.0,1000.0_2
24.78,1000.0,1000.0_4
21.05,10000.0,10000.0_3
21.13,10000.0,10000.0_5
21.4,10000.0,10000.0_8
17.85,100000.0,100000.0_1
17.74,100000.0,100000.0_2
17.69,100000.0,100000.0_3
14.22,1000000.0,1000000.0_1
14.17,1000000.0,1000000.0_2
14.05,1000000.0,1000000.0_3
11.17,10000000.0,10000000.0_1
10.65,10000000.0,10000000.0_2
10.68,10000000.0,10000000.0_3
